Rank,Player,Pos,Team,GP,GS,MIN,PTS,AST,STL,BLK,TOV,REB,OREB,DREB,FGM,FG%,3PTM,FT%,FTM,Cash2023,Age
,Daniel Theis,C,IND,7,1,108,49,9,2,6,3,22,7,15,21,47.7,2,18.2,5,"$9,108,386 ",30
,Alex Len,C,SAC,26,2,161,43,12,4,11,16,60,24,36,16,53.3,0,0,11,"$3,196,448 ",29
,Khem Birch,C,SAS,20,0,161,43,7,5,5,8,25,8,17,19,59.4,1,50,4,"$6,985,000 ",30
,Omer Yurtseven,C,MIA,9,0,83,40,2,2,2,4,23,8,15,16,59.3,3,42.9,5,$0 ,24
,Chance Comanche,C,POR,1,0,20,7,0,0,1,0,3,2,1,3,60,0,0,1,$0 ,26
,Vernon Carey Jr.,C,UTA,11,0,28,6,3,2,2,2,11,3,8,2,25,0,0,2,$0 ,21
,Marko Simonovic,C,CHI,7,0,19,6,0,0,0,0,2,1,1,2,28.6,1,25,1,$0 ,23
,Tristan Thompson,C,LAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$0 ,31
,Willie Cauley-Stein,C,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$0 ,29
,Chet Holmgren,C,OKC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"$10,386,000 ",20
